year,month,LNS11300000,LNS11300001,LNS11300002,LNS11300003,LNS11300004,LNS11300005,LNS11300006,LNS11300007,LNS11300008,LNS11300009,LNS14000000,LNS14000001,LNS14000002,LNS14000003,LNS14000004,LNS14000005,LNS14000006,LNS14000007,LNS14000008,LNS14000009,LNS14100000,LNS14200000,day
1948,1,58.6,86.7,32.0,,,,,,,,3.4,3.4,3.3,,,,,,,,,,1
1948,2,58.9,87.0,32.4,,,,,,,,3.8,3.6,4.5,,,,,,,,,,1
1948,3,58.5,86.3,32.1,,,,,,,,4.0,3.8,4.4,,,,,,,,,,1
1948,4,59.0,86.6,33.0,,,,,,,,3.9,3.8,4.3,,,,,,,,,,1
1948,5,58.3,86.1,32.0,,,,,,,,3.5,3.5,3.7,,,,,,,,,,1
1948,6,59.2,86.6,33.4,,,,,,,,3.6,3.3,4.3,,,,,,,,,,1
1948,7,59.3,86.7,33.4,,,,,,,,3.6,3.4,4.2,,,,,,,,,,1
1948,8,58.9,86.7,32.7,,,,,,,,3.9,3.6,4.4,,,,,,,,,,1
1948,9,58.9,86.3,33.0,,,,,,,,3.8,3.7,4.1,,,,,,,,,,1
1948,10,58.7,86.6,32.4,,,,,,,,3.7,3.6,4.0,,,,,,,,,,1
1948,11,58.7,86.5,32.6,,,,,,,,3.8,3.7,3.9,,,,,,,,,,1
1948,12,59.1,86.9,33.0,,,,,,,,4.0,3.9,4.2,,,,,,,,,,1
1949,1,58.7,86.5,32.6,,,,,,,,4.3,4.2,4.4,,,,,,,,,,1
1949,2,59.0,86.6,33.0,,,,,,,,4.7,4.6,4.8,,,,,,,,,,1
1949,3,58.9,86.5,33.0,,,,,,,,5.0,5.1,4.6,,,,,,,,,,1
1949,4,58.8,86.6,32.8,,,,,,,,5.3,5.3,5.5,,,,,,,,,,1
1949,5,59.0,86.6,33.1,,,,,,,,6.1,6.1,6.0,,,,,,,,,,1
1949,6,58.6,86.2,32.8,,,,,,,,6.2,6.2,6.2,,,,,,,,,,1
1949,7,58.9,86.1,33.4,,,,,,,,6.7,6.7,6.8,,,,,,,,,,1
1949,8,59.2,86.6,33.5,,,,,,,,6.8,6.8,6.8,,,,,,,,,,1
1949,9,59.1,86.6,33.4,,,,,,,,6.6,6.5,6.8,,,,,,,,,,1
1949,10,59.6,87.4,33.6,,,,,,,,7.9,8.4,6.8,,,,,,,,,,1
1949,11,59.4,86.8,33.7,,,,,,,,6.4,6.5,6.3,,,,,,,,,,1
1949,12,59.2,86.6,33.5,,,,,,,,6.6,6.5,6.8,,,,,,,,,,1
1950,1,58.9,86.2,33.4,,,,,,,,6.5,6.4,6.9,,,,,,,,,,1
1950,2,58.9,86.1,33.4,,,,,,,,6.4,6.2,6.8,,,,,,,,,,1
1950,3,58.8,85.9,33.2,,,,,,,,6.3,6.1,6.7,,,,,,,,,,1
1950,4,59.2,86.2,33.9,,,,,,,,5.8,5.9,5.4,,,,,,,,,,1
1950,5,59.1,86.3,33.6,,,,,,,,5.5,5.4,5.8,,,,,,,,,,1
1950,6,59.4,86.2,34.2,,,,,,,,5.4,5.1,6.1,,,,,,,,,,1
1950,7,59.1,86.1,33.7,,,,,,,,5.0,4.8,5.6,,,,,,,,,,1
1950,8,59.5,86.5,34.1,,,,,,,,4.5,4.3,4.8,,,,,,,,,,1
1950,9,59.2,86.5,33.7,,,,,,,,4.4,4.2,5.1,,,,,,,,,,1
1950,10,59.4,86.4,34.3,,,,,,,,4.2,3.9,4.8,,,,,,,,,,1
1950,11,59.3,86.3,34.4,,,,,,,,4.2,3.7,5.2,,,,,,,,,,1
1950,12,59.2,86.3,34.0,,,,,,,,4.3,3.8,5.2,,,,,,,,,,1
1951,1,59.1,86.0,34.3,,,,,,,,3.7,3.3,4.6,,,,,,,,,,1
1951,2,59.1,86.3,34.2,,,,,,,,3.4,3.0,4.5,,,,,,,,,,1
1951,3,59.8,86.9,35.0,,,,,,,,3.4,2.7,4.9,,,,,,,,,,1
1951,4,59.1,86.3,34.4,,,,,,,,3.1,2.5,4.4,,,,,,,,,,1
1951,5,59.4,86.6,34.7,,,,,,,,3.0,2.5,4.2,,,,,,,,,,1
1951,6,59.0,86.4,34.2,,,,,,,,3.2,2.8,4.3,,,,,,,,,,1
1951,7,59.4,86.3,35.2,,,,,,,,3.1,2.7,4.0,,,,,,,,,,1
1951,8,59.2,86.5,34.7,,,,,,,,3.1,2.8,3.9,,,,,,,,,,1
1951,9,59.1,86.4,34.4,,,,,,,,3.3,2.8,4.6,,,,,,,,,,1
1951,10,59.4,86.8,34.8,,,,,,,,3.5,3.1,4.5,,,,,,,,,,1
1951,11,59.2,86.5,34.7,,,,,,,,3.5,3.1,4.5,,,,,,,,,,1
1951,12,59.6,86.8,35.1,,,,,,,,3.1,2.7,4.2,,,,,,,,,,1
1952,1,59.5,86.8,35.0,,,,,,,,3.2,2.8,3.9,,,,,,,,,,1
1952,2,59.5,87.0,34.9,,,,,,,,3.1,2.8,3.8,,,,,,,,,,1
1952,3,58.9,86.5,34.1,,,,,,,,2.9,2.7,3.5,,,,,,,,,,1
1952,4,58.8,86.3,34.3,,,,,,,,2.9,2.7,3.5,,,,,,,,,,1
1952,5,59.1,86.4,34.7,,,,,,,,3.0,2.6,3.9,,,,,,,,,,1
1952,6,59.1,86.4,34.6,,,,,,,,3.0,2.8,3.5,,,,,,,,,,1
1952,7,58.9,86.3,34.4,,,,,,,,3.2,3.0,3.7,,,,,,,,,,1
1952,8,58.7,85.9,34.4,,,,,,,,3.4,3.2,3.8,,,,,,,,,,1
1952,9,59.2,85.9,35.4,,,,,,,,3.1,3.0,3.3,,,,,,,,,,1
1952,10,58.7,85.6,34.6,,,,,,,,3.0,2.6,3.8,,,,,,,,,,1
1952,11,59.1,85.6,35.4,,,,,,,,2.8,2.5,3.4,,,,,,,,,,1
1952,12,59.2,86.4,34.8,,,,,,,,2.7,2.5,3.1,,,,,,,,,,1
1953,1,59.5,86.5,35.1,,,,,,,,2.9,2.8,3.1,,,,,,,,,,1
1953,2,59.5,86.8,34.9,,,,,,,,2.6,2.4,2.9,,,,,,,,,,1
1953,3,59.6,86.8,35.2,,,,,,,,2.6,2.3,3.2,,,,,,,,,,1
1953,4,59.1,86.3,34.6,,,,,,,,2.7,2.6,3.0,,,,,,,,,,1
1953,5,58.6,85.8,34.0,,,,,,,,2.5,2.5,2.7,,,,,,,,,,1
1953,6,58.9,85.8,34.7,,,,,,,,2.5,2.4,2.8,,,,,,,,,,1
1953,7,58.9,85.9,34.6,,,,,,,,2.6,2.5,2.9,,,,,,,,,,1
1953,8,58.6,85.7,34.2,,,,,,,,2.7,2.5,3.0,,,,,,,,,,1
1953,9,58.5,85.4,34.3,,,,,,,,2.9,2.7,3.4,,,,,,,,,,1
1953,10,58.5,85.4,34.4,,,,,,,,3.1,2.9,3.6,,,,,,,,,,1
1953,11,58.6,85.9,33.9,,,,,,,,3.5,3.4,3.7,,,,,,,,,,1
1953,12,58.3,85.8,33.6,,,,,,,,4.5,4.2,5.1,,,,,,,,,,1
1954,1,58.6,85.8,33.9,58.1,86.1,32.7,,,,,4.9,4.4,5.9,4.5,4.1,5.7,,,,,,,1
1954,2,59.3,86.2,35.0,58.9,86.5,33.9,,,,,5.2,4.9,5.9,4.9,4.5,5.8,,,,,,,1
1954,3,59.1,85.6,35.1,58.7,85.9,34.1,,,,,5.7,5.3,6.4,5.0,4.6,6.0,,,,,,,1
1954,4,59.2,86.0,35.0,58.5,86.0,33.6,,,,,5.9,5.6,6.4,5.5,5.2,6.1,,,,,,,1
1954,5,58.9,85.7,34.6,58.1,85.6,33.2,,,,,5.9,5.7,6.3,5.3,5.1,5.7,,,,,,,1
1954,6,58.5,85.3,34.4,57.8,85.1,33.0,,,,,5.6,5.3,6.2,5.0,4.7,5.5,,,,,,,1
1954,7,58.4,85.4,34.1,57.8,85.3,32.8,,,,,5.8,5.6,6.3,5.3,5.1,5.8,,,,,,,1
1954,8,58.7,85.9,34.3,58.2,85.9,33.2,,,,,6.0,6.0,6.2,5.6,5.6,5.6,,,,,,,1
1954,9,59.2,86.0,34.9,58.4,86.0,33.4,,,,,6.1,6.0,6.4,5.9,6.0,5.7,,,,,,,1
1954,10,58.8,85.5,34.8,58.0,85.3,33.2,,,,,5.7,5.7,5.8,5.1,5.1,5.3,,,,,,,1
1954,11,58.6,85.2,34.6,58.1,85.1,33.5,,,,,5.3,5.2,5.6,4.7,4.5,5.0,,,,,,,1
1954,12,58.1,84.8,34.1,57.7,84.8,33.1,,,,,5.0,5.0,5.2,4.4,4.3,4.7,,,,,,,1
1955,1,58.6,85.0,34.7,58.2,85.2,33.7,,,,,4.9,4.8,5.3,4.5,4.3,4.9,,,,,,,1
1955,2,58.4,84.8,34.5,58.2,85.1,33.7,,,,,4.7,4.5,5.0,4.1,3.9,4.5,,,,,,,1
1955,3,58.5,85.0,34.5,58.1,85.1,33.5,,,,,4.6,4.5,4.8,4.0,3.8,4.4,,,,,,,1
1955,4,59.0,85.2,35.3,58.6,85.5,34.1,,,,,4.7,4.7,4.7,4.3,4.3,4.2,,,,,,,1
1955,5,58.8,85.1,35.0,58.3,85.2,33.8,,,,,4.3,4.0,4.7,3.8,3.6,4.1,,,,,,,1
1955,6,58.8,84.8,35.2,58.3,84.8,34.2,,,,,4.2,3.9,4.7,3.7,3.5,4.3,,,,,,,1
1955,7,59.3,85.3,35.8,58.8,85.2,34.8,,,,,4.0,3.8,4.6,3.6,3.4,4.0,,,,,,,1
1955,8,59.7,85.4,36.4,59.2,85.3,35.4,,,,,4.2,3.9,4.9,3.6,3.4,4.1,,,,,,,1
1955,9,59.7,85.6,36.2,59.0,85.4,35.0,,,,,4.1,3.7,5.0,3.6,3.3,4.5,,,,,,,1
1955,10,59.8,85.7,36.4,59.2,85.6,35.2,,,,,4.3,3.9,5.1,3.7,3.4,4.5,,,,,,,1
1955,11,59.9,85.8,36.5,59.3,85.8,35.2,,,,,4.2,3.9,4.9,3.6,3.4,4.1,,,,,,,1
1955,12,60.2,85.9,37.0,59.5,85.8,35.5,,,,,4.2,3.8,4.9,3.7,3.4,4.4,,,,,,,1
1956,1,60.2,86.1,36.7,59.6,86.3,35.4,,,,,4.0,3.8,4.5,3.5,3.3,4.1,,,,,,,1
1956,2,59.9,85.9,36.3,59.3,85.9,35.1,,,,,3.9,3.8,4.3,3.6,3.4,4.0,,,,,,,1
1956,3,59.8,85.8,36.4,59.3,85.9,35.2,,,,,4.2,3.8,5.1,3.7,3.4,4.5,,,,,,,1
1956,4,59.9,85.6,36.6,59.4,85.7,35.4,,,,,4.0,3.6,4.8,3.6,3.3,4.2,,,,,,,1
1956,5,60.2,85.8,37.1,59.6,85.7,35.9,,,,,4.3,3.9,5.0,3.8,3.5,4.4,,,,,,,1
1956,6,60.1,85.7,37.0,59.6,85.6,35.9,,,,,4.3,4.0,5.1,3.7,3.4,4.2,,,,,,,1
1956,7,60.1,85.5,37.2,59.6,85.4,36.0,,,,,4.4,3.8,5.7,3.8,3.4,4.9,,,,,,,1
1956,8,60.0,85.4,37.0,59.4,85.3,35.8,,,,,4.1,3.7,4.8,3.4,3.1,4.1,,,,,,,1
1956,9,60.0,85.2,37.1,59.5,85.3,36.0,,,,,3.9,3.6,4.6,3.5,3.2,4.0,,,,,,,1
1956,10,59.8,85.0,36.9,59.2,85.0,35.8,,,,,3.9,3.5,4.7,3.4,3.1,3.9,,,,,,,1
1956,11,59.8,85.2,36.9,59.4,85.3,35.8,,,,,4.3,4.0,4.9,3.8,3.5,4.3,,,,,,,1
1956,12,59.8,85.0,36.9,59.3,85.2,35.7,,,,,4.2,3.9,4.7,3.8,3.5,4.3,,,,,,,1
1957,1,59.5,84.8,36.6,59.1,85.0,35.5,,,,,4.2,3.9,4.8,3.8,3.4,4.4,,,,,,,1
1957,2,59.9,85.0,37.1,59.3,85.2,35.9,,,,,3.9,3.6,4.5,3.6,3.3,4.1,,,,,,,1
1957,3,59.8,85.2,36.9,59.3,85.2,35.8,,,,,3.7,3.5,4.3,3.4,3.1,4.0,,,,,,,1
1957,4,59.5,85.0,36.5,59.0,85.0,35.3,,,,,3.9,3.8,4.2,3.5,3.3,3.9,,,,,,,1
1957,5,59.5,84.9,36.6,58.9,84.8,35.4,,,,,4.1,3.8,4.7,3.6,3.3,4.3,,,,,,,1
1957,6,59.8,85.2,36.8,59.2,85.3,35.6,,,,,4.3,4.0,4.8,3.7,3.5,4.3,,,,,,,1
1957,7,60.0,85.1,37.2,59.4,85.0,36.1,,,,,4.2,3.8,4.8,3.7,3.5,4.2,,,,,,,1
1957,8,59.3,84.4,36.6,58.8,84.6,35.5,,,,,4.1,3.9,4.7,3.7,3.4,4.2,,,,,,,1
1957,9,59.6,84.6,36.9,59.1,84.8,35.7,,,,,4.4,4.3,4.6,3.9,3.9,4.1,,,,,,,1
1957,10,59.5,84.4,37.0,59.0,84.6,35.8,,,,,4.5,4.4,4.6,4.0,3.9,4.3,,,,,,,1
1957,11,59.5,84.4,36.9,59.0,84.5,35.9,,,,,5.1,5.2,5.1,4.6,4.5,4.8,,,,,,,1
1957,12,59.6,84.5,37.1,59.2,84.6,36.1,,,,,5.2,5.2,5.1,4.7,4.7,4.8,,,,,,,1
1958,1,59.3,84.1,36.8,58.8,84.2,35.7,,,,,5.8,5.7,5.9,5.2,5.1,5.5,,,,,,,1
1958,2,59.3,84.0,37.0,58.9,84.2,35.9,,,,,6.4,6.3,6.6,5.7,5.6,6.0,,,,,,,1
1958,3,59.3,84.0,37.0,58.8,84.0,35.8,,,,,6.7,6.7,6.6,5.9,6.0,5.8,,,,,,,1
1958,4,59.6,84.3,37.3,59.0,84.4,36.0,,,,,7.4,7.3,7.6,6.7,6.6,6.8,,,,,,,1
1958,5,59.8,84.6,37.4,59.2,84.6,36.1,,,,,7.4,7.5,7.3,6.7,6.6,6.8,,,,,,,1
1958,6,59.5,84.3,37.1,58.9,84.3,35.8,,,,,7.3,7.4,7.1,6.6,6.6,6.6,,,,,,,1
1958,7,59.6,84.6,37.0,59.0,84.6,35.7,,,,,7.5,7.6,7.3,6.8,6.8,6.6,,,,,,,1
1958,8,59.8,84.6,37.3,59.2,84.8,36.0,,,,,7.4,7.5,7.2,6.7,6.8,6.7,,,,,,,1
1958,9,59.7,84.7,37.0,59.0,84.6,35.7,,,,,7.1,7.1,7.0,6.4,6.4,6.3,,,,,,,1
1958,10,59.6,84.6,37.0,58.9,84.6,35.5,,,,,6.7,6.7,6.7,6.0,6.0,6.0,,,,,,,1
1958,11,59.2,84.0,36.8,58.6,84.0,35.6,,,,,6.2,6.3,6.0,5.5,5.5,5.6,,,,,,,1
1958,12,59.2,83.8,36.9,58.7,83.8,35.8,,,,,6.2,6.2,6.2,5.5,5.4,5.6,,,,,,,1
1959,1,59.3,83.8,37.1,58.7,83.8,36.0,,,,,6.0,5.9,6.2,5.3,5.2,5.4,,,,,,,1
1959,2,59.0,83.5,36.8,58.5,83.7,35.7,,,,,5.9,5.8,6.0,5.2,5.1,5.5,,,,,,,1
1959,3,59.3,83.8,37.1,58.7,83.7,35.9,,,,,5.6,5.3,6.2,4.9,4.6,5.4,,,,,,,1
1959,4,59.4,83.9,37.3,58.9,84.0,36.1,,,,,5.2,4.8,6.1,4.7,4.2,5.6,,,,,,,1
1959,5,59.2,83.6,37.1,58.6,83.7,35.9,,,,,5.1,4.8,5.8,4.5,4.2,5.1,,,,,,,1
1959,6,59.2,83.5,37.3,58.6,83.5,36.0,,,,,5.0,4.7,5.6,4.4,4.1,5.1,,,,,,,1
1959,7,59.4,83.9,37.1,58.8,83.9,36.0,,,,,5.1,4.9,5.7,4.5,4.2,5.2,,,,,,,1
1959,8,59.2,83.7,37.1,58.6,83.6,35.9,,,,,5.2,5.1,5.6,4.6,4.3,5.1,,,,,,,1
1959,9,59.3,83.9,37.0,58.7,83.9,35.8,,,,,5.5,5.5,5.6,4.9,4.8,5.2,,,,,,,1
1959,10,59.4,83.8,37.4,58.9,83.8,36.3,,,,,5.7,5.5,6.1,5.0,4.7,5.5,,,,,,,1
1959,11,59.1,83.5,37.0,58.6,83.6,35.9,,,,,5.8,5.9,5.8,5.3,5.2,5.5,,,,,,,1
1959,12,59.5,83.9,37.3,58.8,83.9,36.1,,,,,5.3,5.0,5.8,4.7,4.4,5.3,,,,,,,1
1960,1,59.1,83.6,37.0,58.6,83.8,35.8,,,,,5.2,5.0,5.7,4.6,4.4,5.2,,,,,,,1
1960,2,59.1,83.4,37.1,58.6,83.6,35.9,,,,,4.8,4.6,5.4,4.3,4.0,5.0,,,,,,,1
1960,3,58.5,82.8,36.6,58.2,83.1,35.7,,,,,5.4,5.3,5.8,4.8,4.6,5.3,,,,,,,1
1960,4,59.5,83.6,37.8,58.9,83.7,36.5,,,,,5.2,5.0,5.5,4.6,4.4,5.0,,,,,,,1
1960,5,59.5,83.4,37.9,58.9,83.4,36.7,,,,,5.1,5.0,5.5,4.6,4.4,4.9,,,,,,,1
1960,6,59.7,83.3,38.4,59.0,83.3,36.9,,,,,5.4,5.2,5.7,4.8,4.6,5.1,,,,,,,1
1960,7,59.5,83.2,38.1,58.9,83.1,36.9,,,,,5.5,5.3,5.8,4.9,4.7,5.3,,,,,,,1
1960,8,59.5,83.3,37.9,58.8,83.2,36.7,,,,,5.6,5.6,5.8,5.1,5.0,5.4,,,,,,,1
1960,9,59.7,83.5,38.2,59.1,83.4,37.0,,,,,5.5,5.5,5.7,5.1,5.1,5.2,,,,,,,1
1960,10,59.4,83.4,37.7,58.7,83.3,36.4,,,,,6.1,5.9,6.4,5.5,5.4,5.8,,,,,,,1
1960,11,59.8,83.7,38.2,59.1,83.6,36.9,,,,,6.1,6.0,6.5,5.5,5.4,5.7,,,,,,,1
1960,12,59.7,83.4,38.2,59.0,83.3,37.0,,,,,6.6,6.3,7.0,5.9,5.7,6.4,,,,,,,1
1961,1,59.6,83.4,38.2,59.0,83.4,37.0,,,,,6.6,6.5,6.9,5.9,5.8,6.2,,,,,,,1
1961,2,59.6,82.9,38.5,59.0,83.0,37.2,,,,,6.9,6.6,7.3,6.2,5.9,6.7,,,,,,,1
1961,3,59.7,83.1,38.7,59.2,83.2,37.5,,,,,6.9,6.6,7.4,6.2,5.8,6.8,,,,,,,1
1961,4,59.3,82.8,38.1,58.9,82.9,37.1,,,,,7.0,6.8,7.4,6.2,6.0,6.7,,,,,,,1
1961,5,59.4,83.0,38.1,58.8,83.0,36.9,,,,,7.1,6.9,7.4,6.3,6.2,6.6,,,,,,,1
1961,6,59.7,83.1,38.6,59.1,83.2,37.4,,,,,6.9,6.5,7.6,6.2,5.8,6.9,,,,,,,1
1961,7,59.3,82.8,38.1,58.8,83.0,36.9,,,,,7.0,6.6,7.7,6.3,6.0,7.0,,,,,,,1
1961,8,59.3,82.9,38.0,58.7,83.0,36.7,,,,,6.6,6.4,7.0,5.9,5.7,6.4,,,,,,,1
1961,9,59.0,82.6,37.7,58.3,82.5,36.5,,,,,6.7,6.3,7.3,5.9,5.5,6.6,,,,,,,1
1961,10,59.1,82.6,38.0,58.5,82.6,36.7,,,,,6.5,6.1,7.2,5.7,5.4,6.5,,,,,,,1
1961,11,59.1,82.7,37.8,58.5,82.7,36.7,,,,,6.1,5.8,6.6,5.4,5.1,6.0,,,,,,,1
1961,12,58.8,82.5,37.5,58.3,82.7,36.4,,,,,6.0,5.7,6.4,5.3,5.0,5.7,,,,,,,1
1962,1,58.8,82.2,37.9,58.4,82.4,36.8,,,,,5.8,5.4,6.7,5.1,4.7,5.8,,,,,,,1
1962,2,59.0,82.5,38.0,58.4,82.6,36.6,,,,,5.5,5.2,6.2,4.8,4.5,5.4,,,,,,,1
1962,3,58.9,82.5,37.8,58.4,82.6,36.6,,,,,5.6,5.2,6.3,4.8,4.6,5.4,,,,,,,1
1962,4,58.7,82.0,37.8,58.2,82.2,36.7,,,,,5.6,5.2,6.2,4.7,4.5,5.2,,,,,,,1
1962,5,58.9,82.4,37.8,58.3,82.4,36.6,,,,,5.5,5.2,6.0,4.8,4.5,5.3,,,,,,,1
1962,6,58.8,82.1,37.8,58.3,82.3,36.6,,,,,5.5,5.3,5.8,4.8,4.6,5.1,,,,,,,1
1962,7,58.5,81.7,37.7,58.0,81.7,36.6,,,,,5.4,5.1,6.1,4.8,4.5,5.4,,,,,,,1
1962,8,59.0,82.1,38.3,58.4,82.1,37.1,,,,,5.7,5.3,6.4,5.0,4.6,5.7,,,,,,,1
1962,9,59.0,82.0,38.3,58.5,82.1,37.2,,,,,5.6,5.2,6.3,5.0,4.6,5.7,,,,,,,1
1962,10,58.7,81.7,37.9,58.2,81.9,36.7,,,,,5.4,5.0,6.1,4.8,4.5,5.5,,,,,,,1
1962,11,58.5,81.6,37.8,58.0,81.6,36.8,,,,,5.7,5.3,6.3,5.0,4.8,5.6,,,,,,,1
1962,12,58.4,81.4,37.8,58.0,81.6,36.7,,,,,5.5,5.1,6.2,4.8,4.5,5.4,,,,,,,1
1963,1,58.6,81.4,38.0,58.0,81.5,36.8,,,,,5.7,5.4,6.4,5.0,4.7,5.7,,,,,,,1
1963,2,58.6,81.3,38.2,58.2,81.6,37.0,,,,,5.9,5.7,6.5,5.3,5.1,5.7,,,,,,,1
1963,3,58.6,81.4,38.2,58.1,81.5,37.0,,,,,5.7,5.4,6.2,5.0,4.8,5.5,,,,,,,1
1963,4,58.8,81.5,38.4,58.3,81.5,37.3,,,,,5.7,5.4,6.2,5.1,4.8,5.6,,,,,,,1
1963,5,58.8,81.4,38.5,58.2,81.4,37.3,,,,,5.9,5.4,6.7,5.2,4.8,6.0,,,,,,,1
1963,6,58.5,81.2,38.1,58.1,81.4,37.1,,,,,5.6,5.1,6.4,4.9,4.5,5.8,,,,,,,1
1963,7,58.7,81.5,38.3,58.3,81.6,37.2,,,,,5.6,5.1,6.6,5.1,4.6,5.9,,,,,,,1
1963,8,58.5,81.3,38.0,58.0,81.4,36.8,,,,,5.4,4.9,6.3,4.8,4.5,5.6,,,,,,,1
1963,9,58.7,81.4,38.4,58.2,81.5,37.2,,,,,5.5,4.9,6.6,4.8,4.3,5.8,,,,,,,1
1963,10,58.8,81.3,38.6,58.3,81.4,37.4,,,,,5.5,5.0,6.6,4.8,4.4,5.7,,,,,,,1
1963,11,58.8,81.4,38.5,58.3,81.5,37.3,,,,,5.7,5.3,6.6,5.0,4.6,5.9,,,,,,,1
1963,12,58.5,81.0,38.3,58.0,81.1,37.2,,,,,5.5,5.0,6.4,5.0,4.5,5.8,,,,,,,1
1964,1,58.6,81.0,38.4,58.1,81.1,37.3,,,,,5.6,5.0,6.6,5.0,4.5,5.9,,,,,,,1
1964,2,58.8,81.0,38.8,58.3,81.1,37.6,,,,,5.4,4.8,6.5,4.9,4.3,6.0,,,,,,,1
1964,3,58.7,81.0,38.7,58.2,81.1,37.7,,,,,5.4,4.8,6.6,4.9,4.4,5.8,,,,,,,1
1964,4,59.1,81.3,39.2,58.6,81.4,38.1,,,,,5.3,4.8,6.4,4.8,4.3,5.8,,,,,,,1
1964,5,59.1,81.4,39.1,58.6,81.4,38.0,,,,,5.1,4.5,6.3,4.5,4.0,5.5,,,,,,,1
1964,6,58.7,80.9,38.8,58.2,81.1,37.6,,,,,5.2,4.7,6.2,4.7,4.3,5.5,,,,,,,1
1964,7,58.6,81.1,38.5,58.1,81.2,37.3,,,,,4.9,4.4,6.0,4.3,3.9,5.1,,,,,,,1
1964,8,58.6,80.9,38.6,58.1,81.1,37.5,,,,,5.0,4.5,5.9,4.4,4.0,5.3,,,,,,,1
1964,9,58.7,81.1,38.5,58.1,81.2,37.3,,,,,5.1,4.6,6.0,4.5,4.1,5.2,,,,,,,1
1964,10,58.6,80.9,38.6,58.0,81.0,37.4,,,,,5.1,4.5,6.1,4.6,4.2,5.4,,,,,,,1
1964,11,58.5,80.8,38.5,57.9,80.8,37.2,,,,,4.8,4.3,5.9,4.3,3.8,5.4,,,,,,,1
1964,12,58.6,80.6,38.8,58.1,80.8,37.6,,,,,5.0,4.3,6.2,4.5,3.8,5.7,,,,,,,1
1965,1,58.6,80.7,38.7,58.1,80.8,37.7,,,,,4.9,4.3,5.9,4.3,3.8,5.3,,,,,,,1
1965,2,58.7,80.9,38.8,58.3,81.1,37.8,,,,,5.1,4.3,6.4,4.5,3.9,5.8,,,,,,,1
1965,3,58.7,80.7,39.0,58.3,80.9,37.8,,,,,4.7,4.1,5.9,4.3,3.7,5.3,,,,,,,1
1965,4,58.8,81.0,39.0,58.4,81.1,37.9,,,,,4.8,4.3,5.9,4.4,3.9,5.3,,,,,,,1
1965,5,59.0,81.2,39.0,58.5,81.3,38.0,,,,,4.6,4.1,5.5,4.2,3.8,4.9,,,,,,,1
1965,6,58.8,80.5,39.4,58.4,80.7,38.4,,,,,4.6,3.9,5.7,4.2,3.6,5.2,,,,,,,1
1965,7,59.1,80.9,39.5,58.6,81.0,38.4,,,,,4.4,3.9,5.3,3.9,3.5,4.6,,,,,,,1
1965,8,58.9,80.6,39.3,58.4,80.8,38.2,,,,,4.4,3.9,5.2,4.0,3.5,4.9,,,,,,,1
1965,9,58.7,80.3,39.3,58.2,80.5,38.1,,,,,4.3,3.7,5.4,3.8,3.3,4.8,,,,,,,1
1965,10,58.9,80.6,39.5,58.4,80.6,38.3,,,,,4.2,3.7,5.1,3.8,3.4,4.5,,,,,,,1
1965,11,58.8,80.3,39.6,58.3,80.3,38.5,,,,,4.1,3.4,5.4,3.7,3.0,5.0,,,,,,,1
