year,month,LNS11300000,LNS11300001,LNS11300002,LNS11300003,LNS11300004,LNS11300005,LNS11300006,LNS11300007,LNS11300008,LNS11300009,LNS14000000,LNS14000001,LNS14000002,LNS14000003,LNS14000004,LNS14000005,LNS14000006,LNS14000007,LNS14000008,LNS14000009,LNS14100000,LNS14200000,day
1989,8,66.5,76.5,57.5,66.8,77.2,57.2,64.1,71.0,58.5,67.4,5.2,5.1,5.4,4.5,4.4,4.6,11.1,11.3,11.0,8.8,5.1,6.0,1
1989,9,66.4,76.1,57.5,66.6,76.8,57.2,64.1,70.5,58.9,67.2,5.3,5.4,5.2,4.5,4.7,4.3,11.7,11.6,11.7,8.1,5.1,6.4,1
1989,10,66.5,76.5,57.4,66.8,77.2,57.2,64.0,70.7,58.5,67.1,5.3,5.3,5.4,4.5,4.5,4.5,11.7,11.8,11.6,8.0,5.1,6.3,1
1989,11,66.6,76.4,57.8,66.9,77.2,57.5,64.2,70.9,58.7,67.8,5.4,5.4,5.4,4.6,4.6,4.5,11.7,12.1,11.4,7.9,5.1,6.4,1
1989,12,66.5,76.4,57.5,66.8,77.1,57.4,63.9,70.9,58.3,67.7,5.4,5.3,5.4,4.6,4.6,4.6,11.6,12.3,10.9,8.3,5.1,6.5,1
1990,1,66.8,76.7,57.7,67.1,77.5,57.5,64.4,71.1,59.0,67.8,5.4,5.4,5.3,4.6,4.6,4.6,11.1,11.7,10.4,7.3,5.1,6.2,1
1990,2,66.7,76.6,57.6,67.0,77.4,57.4,64.5,71.0,59.3,67.7,5.3,5.2,5.4,4.6,4.5,4.6,11.0,11.2,10.8,7.5,5.0,6.3,1
1990,3,66.7,76.6,57.6,67.0,77.3,57.4,64.5,71.1,59.1,67.5,5.2,5.2,5.3,4.5,4.5,4.5,10.9,11.1,10.7,7.4,5.1,6.0,1
1990,4,66.6,76.4,57.5,66.9,77.2,57.4,64.1,71.0,58.6,67.7,5.4,5.4,5.4,4.7,4.8,4.7,10.7,11.0,10.5,8.5,5.3,6.2,1
1990,5,66.6,76.4,57.7,66.9,77.1,57.5,64.4,71.1,59.1,67.9,5.4,5.3,5.4,4.6,4.7,4.6,10.6,10.9,10.4,7.9,5.2,6.2,1
1990,6,66.4,76.3,57.4,66.8,77.0,57.4,63.6,70.7,57.9,67.6,5.2,5.3,5.2,4.5,4.6,4.5,10.5,10.8,10.1,7.7,5.1,6.2,1
1990,7,66.5,76.3,57.5,66.9,77.0,57.5,63.6,71.0,57.7,67.5,5.5,5.6,5.4,4.7,4.8,4.6,11.4,12.0,10.8,8.0,5.3,6.6,1
1990,8,66.5,76.3,57.6,67.0,77.1,57.6,63.6,71.0,57.7,68.0,5.7,5.8,5.6,4.9,5.0,4.7,11.7,12.1,11.3,8.3,5.5,6.7,1
1990,9,66.4,76.1,57.6,66.9,76.8,57.6,63.6,71.1,57.6,67.2,5.9,5.9,5.8,5.0,5.1,4.9,12.1,12.8,11.4,8.3,5.7,6.4,1
1990,10,66.4,76.2,57.4,66.8,76.9,57.4,63.7,71.2,57.8,66.9,5.9,6.1,5.7,5.1,5.3,4.9,12.1,12.8,11.3,8.5,5.8,6.4,1
1990,11,66.4,76.3,57.4,66.7,76.9,57.3,63.9,71.5,57.9,66.7,6.2,6.4,5.9,5.3,5.5,5.0,12.4,13.2,11.5,8.9,6.1,6.5,1
1990,12,66.4,76.3,57.3,66.7,76.9,57.3,63.7,71.1,57.7,66.5,6.3,6.5,5.9,5.4,5.8,5.0,12.4,13.1,11.8,9.9,6.2,6.6,1
1991,1,66.2,76.0,57.3,66.6,76.7,57.3,63.4,70.4,57.8,66.8,6.4,6.5,6.2,5.6,5.8,5.4,11.9,12.2,11.6,9.1,6.2,6.6,1
1991,2,66.2,75.9,57.4,66.7,76.7,57.4,63.4,71.0,57.3,66.3,6.6,6.9,6.1,5.8,6.1,5.3,12.2,13.1,11.4,9.2,6.6,6.4,1
1991,3,66.3,76.1,57.3,66.7,76.7,57.3,64.0,71.5,57.9,65.9,6.8,7.2,6.3,6.0,6.5,5.5,12.5,12.8,12.1,9.8,6.7,7.3,1
1991,4,66.4,76.0,57.6,66.9,76.8,57.7,63.8,71.1,57.9,66.6,6.7,7.1,6.2,5.9,6.3,5.4,12.7,13.6,11.8,9.8,6.7,6.7,1
1991,5,66.2,75.8,57.4,66.6,76.6,57.3,63.1,69.7,57.8,66.2,6.9,7.2,6.6,6.1,6.4,5.8,12.8,13.8,12.0,10.0,6.8,7.2,1
1991,6,66.2,75.8,57.4,66.7,76.6,57.5,63.2,70.6,57.2,66.5,6.9,7.2,6.5,6.2,6.5,5.8,12.5,13.5,11.5,10.1,6.9,7.1,1
1991,7,66.1,75.8,57.2,66.5,76.6,57.2,63.1,70.3,57.2,66.8,6.8,7.2,6.3,6.2,6.7,5.6,11.9,12.8,11.0,9.6,6.8,6.9,1
1991,8,66.0,75.6,57.2,66.5,76.4,57.2,62.8,69.9,57.1,66.5,6.9,7.2,6.5,6.2,6.5,5.7,12.4,12.8,12.0,10.5,6.9,6.9,1
1991,9,66.2,75.8,57.4,66.6,76.5,57.3,63.8,70.8,58.1,66.4,6.9,7.3,6.4,6.2,6.7,5.5,12.3,12.6,11.9,10.9,6.9,7.0,1
1991,10,66.1,75.6,57.5,66.6,76.4,57.6,63.2,70.1,57.6,66.9,7.0,7.3,6.6,6.2,6.6,5.7,13.3,12.8,13.8,10.7,7.0,7.1,1
1991,11,66.1,75.5,57.5,66.6,76.3,57.5,62.6,69.7,56.8,66.7,7.0,7.4,6.7,6.3,6.7,5.8,12.5,12.5,12.5,10.4,7.0,7.2,1
1991,12,66.0,75.4,57.5,66.4,76.1,57.4,63.1,70.3,57.3,66.2,7.3,7.6,6.9,6.5,6.8,6.0,12.9,13.6,12.3,10.2,7.2,7.3,1
1992,1,66.3,75.7,57.7,66.7,76.4,57.6,63.5,70.9,57.5,66.7,7.3,7.8,6.7,6.4,6.9,5.8,13.5,14.5,12.5,11.0,7.2,7.3,1
1992,2,66.2,75.6,57.7,66.7,76.3,57.7,63.6,70.8,57.8,66.9,7.4,7.9,6.9,6.5,7.0,6.0,14.2,15.5,13.0,11.3,7.5,7.3,1
1992,3,66.4,75.8,57.8,66.8,76.4,57.8,63.6,70.7,57.8,67.0,7.4,7.9,6.9,6.5,7.0,6.0,14.1,15.4,12.8,11.2,7.4,7.3,1
1992,4,66.5,75.8,57.9,66.9,76.6,57.9,63.5,70.2,58.0,66.8,7.4,7.7,6.9,6.5,6.9,6.0,14.1,14.9,13.2,11.0,7.5,7.0,1
1992,5,66.6,76.1,57.8,66.9,76.7,57.6,64.0,70.7,58.6,67.1,7.6,8.1,7.1,6.6,7.2,5.9,14.7,15.6,13.9,11.7,7.5,7.6,1
1992,6,66.7,76.2,57.9,66.9,76.8,57.7,64.5,71.2,59.0,67.2,7.8,8.3,7.3,6.9,7.4,6.2,14.6,15.6,13.6,12.1,7.9,7.6,1
1992,7,66.7,76.0,58.1,67.0,76.7,57.9,64.5,70.9,59.3,66.9,7.7,8.0,7.3,6.7,7.0,6.3,14.4,15.4,13.4,11.7,7.7,7.6,1
1992,8,66.6,76.0,58.0,66.9,76.6,57.7,64.9,71.2,59.8,66.9,7.6,8.0,7.2,6.7,7.1,6.2,14.2,15.3,13.2,11.7,7.7,7.5,1
1992,9,66.5,75.9,57.8,66.8,76.6,57.6,64.2,70.8,58.9,66.8,7.6,8.0,7.2,6.7,7.1,6.3,13.9,15.1,12.8,11.8,7.6,7.7,1
1992,10,66.2,75.6,57.6,66.6,76.3,57.6,63.9,70.6,58.5,66.6,7.3,7.8,6.8,6.5,6.9,6.1,14.3,15.5,13.1,11.8,7.4,7.4,1
1992,11,66.3,75.6,57.8,66.7,76.2,57.8,63.7,70.4,58.2,66.5,7.4,7.8,7.0,6.5,6.9,6.0,14.1,14.8,13.4,12.0,7.4,7.5,1
1992,12,66.3,75.5,57.9,66.7,76.3,57.7,63.6,69.8,58.5,66.6,7.4,7.6,7.2,6.5,6.7,6.1,14.3,15.2,13.5,11.5,7.3,8.1,1
1993,1,66.2,75.4,57.7,66.6,76.2,57.7,63.0,70.1,57.3,66.6,7.3,7.4,7.0,6.3,6.5,6.0,14.1,14.5,13.7,11.3,7.1,7.6,1
1993,2,66.2,75.4,57.7,66.6,76.2,57.6,63.9,70.8,58.3,66.5,7.1,7.4,6.9,6.2,6.5,5.9,13.5,14.2,12.8,11.5,7.1,7.5,1
1993,3,66.2,75.6,57.6,66.6,76.3,57.6,63.1,70.1,57.3,66.4,7.0,7.5,6.5,6.1,6.5,5.7,13.7,15.4,12.0,11.3,7.0,7.3,1
1993,4,66.1,75.4,57.7,66.6,76.2,57.6,62.9,69.6,57.5,66.0,7.1,7.4,6.7,6.1,6.4,5.8,14.0,15.5,12.5,11.0,7.0,7.4,1
1993,5,66.4,75.6,58.0,66.8,76.2,58.0,63.4,70.1,58.0,65.8,7.1,7.3,6.8,6.2,6.4,5.9,13.1,14.1,12.2,10.2,7.1,7.0,1
1993,6,66.5,75.7,58.0,66.9,76.4,58.0,63.1,69.8,57.8,66.0,7.0,7.4,6.7,6.2,6.5,5.8,13.4,14.2,12.5,10.4,7.0,7.3,1
1993,7,66.4,75.7,57.9,66.8,76.4,57.9,63.2,69.9,57.7,66.0,6.9,7.2,6.5,6.1,6.5,5.6,12.7,13.1,12.2,10.7,6.9,6.8,1
1993,8,66.4,75.7,58.0,66.9,76.4,58.1,63.3,70.1,57.8,65.8,6.8,7.1,6.4,6.0,6.3,5.5,12.3,12.9,11.7,9.8,6.8,6.9,1
1993,9,66.2,75.2,57.9,66.7,76.0,58.0,63.1,69.4,57.9,65.8,6.7,7.0,6.4,5.9,6.2,5.7,12.5,13.6,11.5,10.0,6.6,7.1,1
1993,10,66.3,75.3,58.1,67.0,76.3,58.3,62.7,68.4,58.1,66.6,6.8,6.9,6.5,6.2,6.3,6.0,11.8,12.5,11.2,11.4,6.7,7.4,1
1993,11,66.3,75.1,58.2,66.8,75.9,58.2,63.3,69.0,58.7,66.3,6.6,6.7,6.5,5.7,5.8,5.6,12.6,13.7,11.6,10.5,6.5,7.1,1
1993,12,66.4,75.0,58.4,66.9,75.9,58.4,62.8,67.8,58.8,66.4,6.5,6.6,6.4,5.8,6.0,5.5,11.7,12.0,11.4,10.6,6.5,6.7,1
1994,1,66.6,75.3,58.7,67.1,76.1,58.6,63.3,68.9,58.8,65.7,6.6,6.8,6.4,5.7,5.9,5.5,13.1,13.8,12.4,10.5,6.7,6.2,1
1994,2,66.6,75.1,58.8,67.1,75.9,59.0,63.5,69.3,58.8,66.0,6.6,6.7,6.4,5.7,5.9,5.5,12.8,13.8,12.0,10.1,6.7,5.9,1
1994,3,66.5,74.9,58.7,66.9,75.6,58.7,63.7,68.9,59.4,66.2,6.5,6.5,6.5,5.7,5.7,5.5,12.4,12.2,12.6,9.9,6.6,6.3,1
1994,4,66.5,74.9,58.8,67.0,75.8,58.8,63.5,69.1,59.0,66.2,6.4,6.4,6.3,5.6,5.7,5.4,11.9,12.2,11.6,10.8,6.4,6.2,1
1994,5,66.6,74.8,58.9,67.1,75.6,59.1,63.4,69.8,58.3,66.6,6.1,6.1,6.0,5.2,5.3,5.1,11.7,12.1,11.3,9.6,6.1,6.1,1
1994,6,66.4,74.7,58.7,66.8,75.5,58.7,63.6,68.9,59.2,65.9,6.1,6.1,6.1,5.3,5.3,5.3,11.3,11.8,10.8,10.3,6.1,5.8,1
1994,7,66.4,74.8,58.6,66.9,75.7,58.7,63.0,68.6,58.5,66.0,6.1,6.3,5.9,5.3,5.5,5.1,10.9,12.2,9.7,10.1,6.1,5.9,1
1994,8,66.6,75.0,58.9,67.2,76.0,59.0,63.1,68.4,58.8,65.7,6.0,6.1,6.0,5.2,5.3,5.2,11.2,12.0,10.4,9.8,6.0,6.3,1
1994,9,66.6,75.0,58.9,67.2,75.8,59.1,63.1,68.5,58.7,65.8,5.9,5.8,5.9,5.1,5.1,5.2,10.6,10.9,10.2,10.1,5.9,5.8,1
1994,10,66.7,75.2,58.9,67.3,76.0,59.0,63.8,69.6,59.0,66.5,5.8,5.8,5.7,5.0,5.1,4.9,11.3,11.5,11.0,9.5,5.8,5.8,1
1994,11,66.7,75.2,58.9,67.2,76.0,59.1,63.4,69.4,58.6,66.8,5.6,5.6,5.6,4.8,4.8,4.8,10.8,11.0,10.7,8.9,5.6,5.5,1
1994,12,66.7,75.4,58.7,67.3,76.2,59.0,63.0,69.4,57.8,65.8,5.5,5.5,5.5,4.8,4.9,4.6,9.9,9.8,10.0,9.3,5.3,6.0,1
1995,1,66.8,75.4,58.8,67.2,76.1,58.8,63.4,69.5,58.5,65.6,5.6,5.6,5.6,4.8,4.9,4.7,10.3,10.4,10.2,10.2,5.4,6.1,1
1995,2,66.8,75.4,58.8,67.1,76.0,58.8,64.3,70.2,59.4,65.4,5.4,5.4,5.5,4.7,4.7,4.7,10.1,10.1,10.2,9.0,5.3,5.8,1
1995,3,66.7,75.3,58.8,67.1,76.0,58.8,63.9,69.5,59.3,65.4,5.4,5.3,5.5,4.7,4.8,4.7,9.7,9.0,10.3,8.9,5.3,5.8,1
1995,4,66.9,75.3,59.2,67.3,75.9,59.2,64.4,70.0,59.8,65.9,5.8,5.6,5.9,5.0,5.0,5.1,10.7,10.6,10.9,8.9,5.7,6.2,1
1995,5,66.5,74.9,58.8,66.9,75.6,58.9,63.7,69.2,59.2,65.9,5.6,5.8,5.5,5.0,5.2,4.9,10.0,10.8,9.2,9.8,5.6,6.2,1
1995,6,66.5,75.0,58.7,67.0,75.7,58.7,63.6,69.3,59.1,66.0,5.6,5.6,5.7,4.9,4.9,4.9,10.7,11.0,10.5,9.1,5.5,6.2,1
1995,7,66.6,74.9,59.1,67.2,75.7,59.2,63.1,68.5,58.8,66.1,5.7,5.6,5.8,4.9,4.8,5.0,10.9,11.2,10.6,8.8,5.5,6.4,1
1995,8,66.6,74.8,59.0,67.1,75.6,59.1,63.3,68.7,58.9,66.0,5.7,5.7,5.6,4.9,4.9,4.8,11.1,11.8,10.5,9.6,5.6,6.0,1
1995,9,66.6,75.0,59.0,67.1,75.8,59.1,63.4,68.7,59.1,66.5,5.6,5.6,5.7,4.9,4.9,4.8,11.1,11.0,11.2,9.1,5.5,5.9,1
1995,10,66.6,74.7,59.2,67.1,75.7,59.1,63.7,68.1,60.1,66.3,5.5,5.4,5.7,4.9,4.8,4.9,10.0,9.8,10.2,9.4,5.4,6.1,1
1995,11,66.5,74.6,59.1,66.9,75.5,58.9,64.3,68.2,61.1,65.7,5.6,5.7,5.5,5.0,5.1,4.8,9.7,10.2,9.2,9.5,5.5,5.9,1
1995,12,66.4,74.6,58.9,66.9,75.5,58.8,63.7,68.2,60.1,65.6,5.6,5.7,5.5,4.9,4.9,4.9,10.2,11.2,9.2,9.3,5.5,6.0,1
1996,1,66.4,74.6,58.9,66.8,75.6,58.6,64.0,68.4,60.3,65.9,5.6,5.6,5.8,4.9,4.9,5.0,10.6,10.9,10.4,9.4,5.6,6.0,1
1996,2,66.6,74.9,58.9,67.1,75.8,58.9,63.2,68.3,59.2,66.3,5.5,5.6,5.4,4.8,4.9,4.8,10.0,11.0,9.0,9.6,5.4,6.0,1
1996,3,66.6,74.9,59.0,67.1,75.7,59.0,63.8,68.8,59.7,65.8,5.5,5.6,5.3,4.8,4.9,4.6,10.6,11.7,9.5,9.6,5.4,5.9,1
1996,4,66.7,74.9,59.1,67.1,75.8,58.9,63.9,68.5,60.1,65.7,5.6,5.6,5.5,4.8,4.9,4.8,10.7,11.5,10.0,9.6,5.5,5.9,1
1996,5,66.7,75.0,59.1,67.2,75.9,59.1,64.2,69.0,60.3,65.7,5.6,5.6,5.5,4.9,4.9,4.9,10.2,11.1,9.4,9.6,5.5,6.1,1
1996,6,66.7,75.0,59.0,67.1,75.9,58.9,63.8,68.2,60.3,65.7,5.3,5.3,5.3,4.6,4.6,4.5,10.4,11.1,9.8,8.8,5.2,5.6,1
1996,7,66.9,75.2,59.3,67.3,76.0,59.1,64.5,69.3,60.6,66.1,5.5,5.5,5.4,4.7,4.7,4.7,10.6,11.6,9.7,8.8,5.3,6.0,1
1996,8,66.7,74.8,59.3,67.1,75.7,59.1,64.8,69.6,60.9,66.8,5.1,5.0,5.3,4.4,4.4,4.5,10.6,10.6,10.7,8.8,5.0,5.8,1
1996,9,66.9,75.0,59.5,67.3,75.8,59.3,63.9,68.6,60.2,66.8,5.2,5.2,5.2,4.5,4.5,4.4,10.6,11.3,9.9,8.2,5.1,5.5,1
1996,10,67.0,75.1,59.6,67.5,76.1,59.4,64.6,68.8,61.1,67.3,5.2,5.1,5.4,4.5,4.4,4.5,10.7,11.2,10.3,8.0,5.1,5.7,1
1996,11,67.0,74.9,59.8,67.4,75.8,59.6,64.5,68.9,60.9,68.3,5.4,5.3,5.4,4.6,4.6,4.7,10.6,11.3,10.0,8.5,5.3,5.6,1
1996,12,67.0,74.8,59.8,67.4,75.8,59.6,64.3,67.9,61.4,67.5,5.4,5.0,5.7,4.6,4.4,4.9,10.5,10.0,11.0,7.4,5.2,6.0,1
1997,1,67.0,74.9,59.6,67.3,75.9,59.3,64.4,68.1,61.4,68.4,5.3,5.3,5.3,4.5,4.6,4.4,10.8,11.1,10.5,8.4,5.2,5.7,1
1997,2,66.9,74.9,59.5,67.3,75.8,59.4,64.3,67.8,61.5,67.7,5.2,5.1,5.4,4.5,4.4,4.5,10.7,10.6,10.8,8.2,5.1,5.9,1
1997,3,67.1,75.0,59.8,67.5,75.9,59.5,64.4,67.9,61.6,67.7,5.2,5.1,5.2,4.4,4.4,4.4,10.5,11.1,10.0,8.3,5.1,5.6,1
1997,4,67.1,75.1,59.7,67.5,76.0,59.5,64.3,67.8,61.4,67.0,5.1,5.1,5.0,4.3,4.3,4.2,10.2,10.6,9.8,8.2,4.9,5.7,1
1997,5,67.1,75.0,59.8,67.5,75.8,59.6,64.3,67.8,61.4,67.8,4.9,4.6,5.2,4.1,3.9,4.4,10.3,10.2,10.3,7.7,4.8,5.5,1
1997,6,67.1,75.0,59.7,67.5,75.9,59.6,64.5,68.7,61.0,67.9,5.0,5.0,5.0,4.2,4.2,4.2,10.8,11.4,10.2,7.5,4.9,5.2,1
1997,7,67.2,75.0,60.0,67.6,75.8,59.7,64.7,68.3,61.7,68.3,4.9,4.8,5.0,4.2,4.2,4.2,9.5,9.6,9.5,7.9,4.8,5.3,1
1997,8,67.2,75.0,59.9,67.5,75.8,59.6,65.8,70.0,62.4,68.2,4.8,4.8,4.9,4.2,4.2,4.2,9.4,9.3,9.5,7.2,4.7,5.5,1
1997,9,67.1,74.9,60.0,67.5,75.7,59.7,65.3,69.0,62.4,67.7,4.9,4.7,5.0,4.2,4.1,4.3,9.5,9.5,9.5,7.4,4.7,5.5,1
1997,10,67.1,74.9,59.8,67.5,75.8,59.6,64.6,68.5,61.5,68.0,4.7,4.7,4.7,4.1,4.2,4.0,9.5,9.4,9.6,7.8,4.6,5.3,1
1997,11,67.2,75.1,59.8,67.5,76.0,59.5,64.7,68.2,61.9,68.0,4.6,4.6,4.7,3.9,4.0,3.8,9.5,9.1,9.8,7.0,4.4,5.3,1
1997,12,67.2,74.9,60.1,67.5,75.8,59.7,65.0,67.8,62.7,67.9,4.7,4.7,4.8,3.9,3.9,3.9,10.0,9.9,10.0,7.3,4.6,5.1,1
1998,1,67.1,74.9,59.9,67.3,75.7,59.4,65.1,68.5,62.3,67.5,4.6,4.5,4.8,4.0,3.9,4.1,9.4,9.4,9.3,7.1,4.4,5.4,1
1998,2,67.1,74.8,59.9,67.3,75.7,59.4,65.2,68.1,62.9,67.7,4.6,4.5,4.8,3.9,3.9,4.0,9.3,9.3,9.3,6.9,4.5,5.3,1
1998,3,67.1,74.8,59.9,67.3,75.6,59.5,65.7,69.0,63.0,68.2,4.7,4.6,4.8,4.0,4.0,4.0,9.2,9.1,9.3,6.9,4.5,5.6,1
1998,4,67.0,74.8,59.7,67.2,75.5,59.3,65.4,69.0,62.4,68.2,4.3,4.1,4.6,3.7,3.6,3.8,9.1,8.6,9.5,6.7,4.2,4.9,1
1998,5,67.0,74.9,59.7,67.3,75.7,59.5,64.7,68.2,61.9,68.7,4.4,4.3,4.5,3.8,3.8,3.8,8.9,8.2,9.5,6.9,4.3,4.9,1
1998,6,67.0,74.9,59.7,67.2,75.5,59.3,65.8,69.7,62.7,68.3,4.5,4.4,4.6,3.9,3.9,3.9,8.8,8.6,8.9,7.4,4.4,5.1,1
1998,7,67.0,75.0,59.7,67.2,75.5,59.2,65.8,69.8,62.5,67.9,4.5,4.6,4.5,3.8,3.9,3.8,9.5,10.1,8.9,7.3,4.4,5.1,1
1998,8,67.0,74.6,59.8,67.3,75.5,59.5,65.5,68.9,62.8,67.7,4.5,4.4,4.6,3.9,3.9,4.0,8.8,8.9,8.8,7.4,4.3,5.3,1
1998,9,67.2,75.0,60.0,67.4,75.7,59.7,65.6,69.2,62.8,68.2,4.6,4.6,4.6,3.9,4.0,3.8,9.1,9.1,9.2,7.3,4.4,5.3,1
1998,10,67.2,74.9,60.0,67.4,75.7,59.5,66.2,69.7,63.3,67.9,4.5,4.4,4.7,3.9,3.9,4.0,8.6,8.5,8.7,7.2,4.3,5.7,1
1998,11,67.1,75.0,59.9,67.4,75.7,59.4,66.0,69.3,63.3,67.6,4.4,4.3,4.6,3.8,3.7,3.9,8.6,8.9,8.3,7.1,4.2,5.4,1
1998,12,67.2,74.9,60.0,67.4,75.7,59.6,65.6,68.5,63.3,67.8,4.4,4.3,4.4,3.8,3.8,3.9,7.7,7.9,7.6,7.7,4.2,5.2,1
1999,1,67.2,75.0,60.1,67.4,75.8,59.5,66.2,69.5,63.5,67.9,4.3,4.2,4.4,3.8,3.7,3.9,7.8,8.0,7.6,6.7,4.1,5.2,1
1999,2,67.2,74.9,60.0,67.5,75.8,59.6,65.6,68.4,63.2,67.9,4.4,4.3,4.5,3.8,3.8,3.8,8.2,8.1,8.2,6.7,4.3,5.0,1
1999,3,67.0,74.7,59.9,67.3,75.7,59.5,65.5,68.2,63.4,67.8,4.2,3.9,4.4,3.6,3.4,3.8,8.0,7.8,8.3,5.8,4.0,4.9,1
1999,4,67.1,74.6,60.1,67.3,75.5,59.5,65.6,68.0,63.7,67.5,4.3,4.1,4.6,3.8,3.6,4.1,7.8,7.8,7.8,7.0,4.2,4.9,1
1999,5,67.1,74.8,59.9,67.3,75.5,59.5,65.6,68.9,63.0,67.5,4.2,4.2,4.2,3.7,3.7,3.7,7.4,7.7,7.2,6.7,4.0,5.1,1
1999,6,67.1,74.7,60.1,67.4,75.5,59.7,65.7,68.6,63.4,67.7,4.3,4.2,4.4,3.8,3.7,3.9,7.7,7.8,7.5,6.6,4.1,5.3,1
1999,7,67.1,74.7,60.0,67.3,75.6,59.5,66.0,68.2,64.3,67.6,4.3,4.2,4.5,3.7,3.6,3.8,8.7,8.7,8.6,6.5,4.2,4.8,1
1999,8,67.0,74.6,60.0,67.3,75.6,59.5,65.7,68.3,63.7,68.0,4.2,4.1,4.3,3.7,3.8,3.6,7.7,7.4,8.0,6.5,4.1,4.4,1
1999,9,67.0,74.6,60.0,67.2,75.4,59.4,66.4,68.9,64.3,67.7,4.2,4.1,4.4,3.6,3.5,3.8,8.5,8.8,8.3,6.7,4.0,5.1,1
1999,10,67.0,74.6,60.1,67.2,75.3,59.6,66.1,69.6,63.3,67.6,4.1,4.1,4.1,3.5,3.5,3.6,8.4,9.5,7.4,6.4,4.0,4.8,1
1999,11,67.1,74.6,60.2,67.3,75.4,59.7,65.9,68.8,63.5,67.9,4.1,4.0,4.2,3.5,3.3,3.6,8.0,8.6,7.5,6.0,3.9,5.0,1
1999,12,67.1,74.8,60.1,67.4,75.5,59.8,65.7,68.9,63.1,68.1,4.0,4.0,4.1,3.5,3.4,3.5,7.8,8.1,7.6,5.8,3.9,4.9,1
2000,1,67.3,75.1,60.1,67.5,75.9,59.7,65.3,67.0,63.9,70.2,4.0,3.9,4.1,3.4,3.4,3.5,8.2,8.7,7.7,5.6,3.9,4.7,1
2000,2,67.3,75.3,60.0,67.5,76.0,59.6,65.3,67.1,63.8,69.9,4.1,4.1,4.1,3.6,3.5,3.6,8.1,8.4,7.7,5.7,3.9,5.0,1
2000,3,67.3,75.0,60.1,67.5,75.9,59.7,64.7,66.2,63.5,70.0,4.0,3.8,4.3,3.5,3.3,3.8,7.4,7.6,7.3,6.1,3.8,5.0,1
2000,4,67.3,74.9,60.3,67.5,75.6,60.0,66.0,69.5,63.3,69.9,3.8,3.7,4.0,3.4,3.3,3.5,7.0,7.2,6.8,5.5,3.7,4.5,1
2000,5,67.1,74.8,60.0,67.2,75.4,59.5,65.9,68.9,63.5,69.8,4.0,3.9,4.2,3.5,3.3,3.7,7.7,8.1,7.4,5.8,3.9,5.2,1
2000,6,67.1,74.8,60.0,67.3,75.5,59.5,65.7,69.0,63.0,69.8,4.0,3.8,4.1,3.4,3.3,3.6,7.8,8.5,7.2,5.6,3.8,4.8,1
2000,7,66.9,74.5,59.9,67.1,75.2,59.4,65.4,68.6,62.8,68.9,4.0,3.9,4.2,3.5,3.4,3.7,7.7,7.9,7.5,5.8,3.8,5.1,1
